,content,polygon,spans
17,3.4 Survey/Examination of small,"[0.5932000000000001, 3.8582, 2.327, 3.8531, 2.327, 3.9798, 0.5932000000000001, 3.99]","[{'offset': 938, 'length': 31}]"
18,vessels and life saving appli-,"[0.8973000000000001, 3.9748, 2.3929, 3.9798, 2.3929, 4.1117, 0.8973000000000001, 4.1015]","[{'offset': 970, 'length': 30}]"
19,ances,"[0.8973000000000001, 4.1117, 1.2167, 4.1066, 1.2167, 4.208, 0.9024000000000001, 4.2131]","[{'offset': 1001, 'length': 5}]"
20,3.5 Pilotage exemption certificate,"[0.5932000000000001, 4.2131, 2.3929, 4.2131, 2.3929, 4.3347, 0.5932000000000001, 4.3398]","[{'offset': 1007, 'length': 34}]"
21,14,"[2.616, 4.2181, 2.7427, 4.2131, 2.7478, 4.3246, 2.621, 4.3246]","[{'offset': 1042, 'length': 2}]"
22,3.6 Tugs/Vessel assistance and/or,"[0.5881000000000001, 4.3347, 2.4284, 4.3347, 2.4284, 4.4564, 0.5881000000000001, 4.4513]","[{'offset': 1045, 'length': 33}]"
23,attendance,"[0.9024000000000001, 4.4463, 1.5006, 4.4463, 1.5006, 4.568, 0.9024000000000001, 4.568]","[{'offset': 1079, 'length': 10}]"
24,3.7 Miscellaneous tug/vessel ser-,"[0.5982000000000001, 4.5629, 2.3675, 4.568, 2.3675, 4.6947, 0.5982000000000001, 4.6846]","[{'offset': 1090, 'length': 33}]"
25,vices,"[0.9176000000000001, 4.6947, 1.161, 4.6947, 1.161, 4.8012, 0.9176000000000001, 4.7961]","[{'offset': 1124, 'length': 5}]"
26,3.8 Berthing services,"[0.5932000000000001, 4.8012, 1.744, 4.8012, 1.744, 4.9228000000000005, 0.5932000000000001, 4.9228000000000005]","[{'offset': 1130, 'length': 21}]"
27,18,"[2.621, 4.8062000000000005, 2.7478, 4.8012, 2.7478, 4.9127, 2.6261, 4.9076]","[{'offset': 1152, 'length': 2}]"
28,3.9 Running of vessel lines,"[0.5932000000000001, 4.9178, 2.0431, 4.9178, 2.0431, 5.0445, 0.5932000000000001, 5.0445]","[{'offset': 1155, 'length': 27}]"
29,3.10 Hire of marine equipment/,"[0.5881000000000001, 5.0293, 2.2915, 5.0293, 2.2915, 5.1713000000000005, 0.5881000000000001, 5.1611]","[{'offset': 1183, 'length': 30}]"
30,marine services,"[0.9075000000000001, 5.1611, 1.7338, 5.1611, 1.7338, 5.2777, 0.9075000000000001, 5.2777]","[{'offset': 1214, 'length': 15}]"
31,5-8 SECTION 4,"[2.5805, 1.2573, 3.5538, 1.2573, 3.5538, 1.379, 2.5805, 1.379]","[{'offset': 1230, 'length': 13}]"
32,"PORT FEES ON VESSELS, MISCELLA-","[2.8847, 1.4855, 4.8263, 1.4804, 4.8263, 1.6173000000000002, 2.8847, 1.6224]","[{'offset': 1244, 'length': 31}]"
33,NEOUS FEES AND SERVICES,"[2.8847, 1.6071, 4.3954, 1.6071, 4.3954, 1.7389999999999999, 2.8847, 1.7339]","[{'offset': 1276, 'length': 23}]"
34,9,"[2.6464, 1.7389999999999999, 2.6971, 1.7389999999999999, 2.7021, 1.8404, 2.6513999999999998, 1.8404]","[{'offset': 1300, 'length': 1}]"
35,10,"[2.616, 1.8606, 2.7478, 1.8556, 2.7528, 1.957, 2.621, 1.957]","[{'offset': 1302, 'length': 2}]"
36,4.1 Port fees on vessels,"[2.8999, 1.8454000000000002, 4.1825, 1.8454000000000002, 4.1825, 1.9772, 2.8999, 1.9722]","[{'offset': 1305, 'length': 24}]"
37,21,"[4.9987, 1.8353000000000002, 5.1356, 1.8353000000000002, 5.1356, 1.9468, 5.0038, 1.9468]","[{'offset': 1330, 'length': 2}]"
38,"4.2 Port dues for small vessels, hulks","[2.91, 2.0837, 4.8973, 2.0837, 4.8973, 2.2155, 2.91, 2.2105]","[{'offset': 1333, 'length': 38}]"
39,22,"[4.9936, 2.0736, 5.1407, 2.0786, 5.1356, 2.1851, 4.9886, 2.18]","[{'offset': 1372, 'length': 2}]"
40,and pleasure vessels,"[3.3561, 2.2054, 4.4512, 2.2054, 4.4512, 2.3321, 3.3561, 2.3321]","[{'offset': 1375, 'length': 20}]"
41,24,"[4.9987, 2.1953, 5.1305, 2.1953, 5.1356, 2.3017, 5.0088, 2.2967]","[{'offset': 1396, 'length': 2}]"
42,4.3 Miscellaneous services,"[2.8948, 2.3271, 4.3092, 2.3271, 4.3092, 2.4487, 2.8948, 2.4386]","[{'offset': 1399, 'length': 26}]"
43,4.3.1 Fire and emergency services,"[3.0874, 2.4437, 4.8821, 2.4437, 4.8821, 2.5806, 3.0874, 2.5704000000000002]","[{'offset': 1426, 'length': 33}]"
44,4.3.2 Fire protection,"[3.0874, 2.5603, 4.1571, 2.5603, 4.1571, 2.6972, 3.0874, 2.6870000000000003]","[{'offset': 1460, 'length': 21}]"
45,26,"[5.019, 2.4285, 5.1407, 2.4335, 5.1407, 2.54, 5.019, 2.54]","[{'offset': 1482, 'length': 2}]"
46,26,"[5.0088, 2.5552, 5.1356, 2.5552, 5.1356, 2.6617, 5.0038, 2.6515]","[{'offset': 1485, 'length': 2}]"
47,4.3.3 Fire awareness training,"[3.0874, 2.6769, 4.6083, 2.6769, 4.6083, 2.8138, 3.0874, 2.8087]","[{'offset': 1488, 'length': 29}]"
48,27,"[5.0038, 2.6769, 5.1356, 2.6769, 5.1305, 2.7834, 4.9987, 2.7732]","[{'offset': 1518, 'length': 2}]"
49,11,"[2.621, 2.8036000000000003, 2.7275, 2.7986, 2.7326, 2.9101, 2.6261, 2.9050000000000002]","[{'offset': 1521, 'length': 2}]"
50,4.3.4 Fire equipment maintenance,"[3.0824, 2.7884, 4.877, 2.7935, 4.877, 2.9253, 3.0824, 2.9202]","[{'offset': 1524, 'length': 32}]"
51,28,"[4.9936, 2.7834, 5.1457, 2.7884, 5.1457, 2.8949, 4.9936, 2.8898]","[{'offset': 1557, 'length': 2}]"
52,4.3.5 Fire equipment hire,"[3.0874, 2.9050000000000002, 4.4258, 2.9050000000000002, 4.4258, 3.0419, 3.0874, 3.0369]","[{'offset': 1560, 'length': 25}]"
53,29,"[5.0038, 2.9050000000000002, 5.1457, 2.9050000000000002, 5.1457, 3.0115, 5.0038, 3.0115]","[{'offset': 1586, 'length': 2}]"
54,4.4 Security services,"[2.8948, 3.0267, 4.0507, 3.0369, 4.0507, 3.1636, 2.8948, 3.1535]","[{'offset': 1589, 'length': 21}]"
55,30,"[4.9936, 3.0166, 5.1356, 3.0166, 5.1356, 3.1332, 4.9987, 3.1281]","[{'offset': 1611, 'length': 2}]"
56,4.5 Fresh water,"[2.8999, 3.1433, 3.7972, 3.1484, 3.7972, 3.2701000000000002, 2.8999, 3.265]","[{'offset': 1614, 'length': 15}]"
57,30,"[4.9987, 3.1383, 5.1457, 3.1484, 5.1457, 3.2549, 4.9987, 3.2498]","[{'offset': 1630, 'length': 2}]"
58,4.6,"[2.8999, 3.265, 3.0824, 3.2701000000000002, 3.0824, 3.3765, 2.8999, 3.3765]","[{'offset': 1633, 'length': 3}]"
59,Electricity,"[3.1584, 3.265, 3.6755, 3.2701000000000002, 3.6755, 3.3917, 3.1584, 3.3867000000000003]","[{'offset': 1637, 'length': 11}]"
60,30,"[4.9886, 3.265, 5.1508, 3.2599, 5.1457, 3.3664, 4.9936, 3.3664]","[{'offset': 1649, 'length': 2}]"
61,4.7,"[2.8948, 3.3867000000000003, 3.1128, 3.3867000000000003, 3.1128, 3.5033, 2.8999, 3.4982]","[{'offset': 1652, 'length': 3}]"
62,Removal of refuse,"[3.1533, 3.3816, 4.1217, 3.3816, 4.1217, 3.5084, 3.1533, 3.5084]","[{'offset': 1656, 'length': 17}]"
63,30,"[4.9936, 3.3765, 5.1457, 3.3765, 5.1457, 3.4779, 4.9936, 3.4779]","[{'offset': 1674, 'length': 2}]"
64,4.8,"[2.8897, 3.5033, 3.0773, 3.5033, 3.0773, 3.6148, 2.8948, 3.6148]","[{'offset': 1677, 'length': 3}]"
65,Combating of Oil Pollution,"[3.1330999999999998, 3.4982, 4.5374, 3.4982, 4.5374, 3.63, 3.1330999999999998, 3.625]","[{'offset': 1681, 'length': 26}]"
66,30,"[4.9936, 3.4931, 5.1457, 3.4931, 5.1457, 3.5996, 4.9936, 3.5945]","[{'offset': 1708, 'length': 2}]"
67,4.9 Passenger baggage: All ports,"[2.8999, 3.6148, 4.6945, 3.6148, 4.6945, 3.7517, 2.8999, 3.7466]","[{'offset': 1711, 'length': 32}]"
68,30,"[4.9987, 3.6097, 5.1305, 3.6148, 5.1356, 3.7264, 4.9987, 3.7213000000000003]","[{'offset': 1744, 'length': 2}]"
69,13,"[2.621, 3.7416, 2.7326, 3.7416, 2.7326, 3.848, 2.6261, 3.843]","[{'offset': 1747, 'length': 2}]"
70,14,"[2.616, 3.8683, 2.7579000000000002, 3.8632, 2.763, 3.9697, 2.616, 3.9646]","[{'offset': 1750, 'length': 2}]"
71,4.11 Administrative fees,"[2.8897, 3.8531, 4.1521, 3.8582, 4.1521, 3.9849, 2.8897, 3.9798]","[{'offset': 1753, 'length': 24}]"
72,4.10 Passengers' levy: All ports,"[2.8948, 3.7365, 4.5272, 3.7416, 4.5272, 3.8683, 2.8948, 3.8582]","[{'offset': 1778, 'length': 32}]"
73,31,"[4.9936, 3.7314, 5.1407, 3.7314, 5.1407, 3.8379000000000003, 4.9936, 3.8379000000000003]","[{'offset': 1811, 'length': 2}]"
74,31,"[4.9886, 3.848, 5.1407, 3.848, 5.1407, 3.9545, 4.9886, 3.9545]","[{'offset': 1814, 'length': 2}]"
75,31,"[4.9886, 3.9697, 5.1407, 3.9697, 5.1407, 4.0762, 4.9886, 4.0762]","[{'offset': 1817, 'length': 2}]"
76,SECTION 5,"[2.8897, 4.1066, 3.5488, 4.1117, 3.5488, 4.2384, 2.8897, 4.2333]","[{'offset': 1820, 'length': 9}]"
77,15,"[2.6261, 4.3347, 2.7326, 4.3246, 2.7326, 4.4412, 2.6261, 4.4361]","[{'offset': 1830, 'length': 2}]"
78,"PORT SERVICE LICENCE, PORT RULE","[2.8847, 4.3499, 4.8568, 4.3499, 4.8568, 4.4767, 2.8847, 4.4767]","[{'offset': 1833, 'length': 31}]"
79,"LICENCE, PORT RULE REGISTRATION","[2.8948, 4.4716000000000005, 4.8922, 4.4666, 4.8922, 4.5832, 2.8948, 4.5882000000000005]","[{'offset': 1865, 'length': 31}]"
80,AND PORT RULE PERMIT FEES,"[2.8847, 4.5882000000000005, 4.5222, 4.5882000000000005, 4.5222, 4.715, 2.8847, 4.715]","[{'offset': 1897, 'length': 25}]"
81,16,"[2.6109, 4.568, 2.7528, 4.5629, 2.7579000000000002, 4.6795, 2.6109, 4.6744]","[{'offset': 1923, 'length': 2}]"
82,5.1 Fees payable for Port Service,"[2.8948, 4.8265, 4.6641, 4.8265, 4.6641, 4.9533000000000005, 2.8948, 4.9533000000000005]","[{'offset': 1926, 'length': 33}]"
83,licences to be issued by the,"[3.199, 4.9431, 4.659, 4.9431, 4.659, 5.0699, 3.199, 5.0648]","[{'offset': 1960, 'length': 28}]"
84,32,"[4.9936, 4.9482, 5.1305, 4.9482, 5.1305, 5.0547, 4.9987, 5.0547]","[{'offset': 1989, 'length': 2}]"
85,19,"[2.616, 4.9178, 2.7326, 4.9178, 2.7376, 5.0293, 2.621, 5.0242]","[{'offset': 1992, 'length': 2}]"
86,20,"[2.6007, 5.0445, 2.7376, 5.0395, 2.7427, 5.1459, 2.6058, 5.1459]","[{'offset': 1995, 'length': 2}]"
87,Authority in terms of section 57,"[3.199, 5.0648, 4.8517, 5.0648, 4.8517, 5.1865, 3.199, 5.1865]","[{'offset': 1998, 'length': 32}]"
88,"of the National Ports Act, No. 12","[3.199, 5.1814, 4.9075, 5.1865, 4.9075, 5.3031, 3.199, 5.298]","[{'offset': 2031, 'length': 33}]"
89,of 2005,"[3.204, 5.3031, 3.6147, 5.3031, 3.6147, 5.4146, 3.204, 5.4146]","[{'offset': 2065, 'length': 7}]"
90,5.2,"[2.8948, 5.4197, 3.0672, 5.4146, 3.0672, 5.5414, 2.8999, 5.5414]","[{'offset': 2073, 'length': 3}]"
91,"Fees payable for licences, regis-","[3.1888, 5.4197, 4.8872, 5.4197, 4.8872, 5.5515, 3.1888, 5.5464]","[{'offset': 2077, 'length': 33}]"
92,trations and permits to be is-,"[3.199, 5.5363, 4.7199, 5.5363, 4.7199, 5.658, 3.199, 5.658]","[{'offset': 2111, 'length': 30}]"
93,sued by the Authority in terms,"[3.199, 5.6529, 4.801, 5.6529, 4.801, 5.7797, 3.199, 5.7797]","[{'offset': 2142, 'length': 30}]"
94,of Port Rules made by the Au-,"[3.1888, 5.7695, 4.7959, 5.7695, 4.7959, 5.8963, 3.1888, 5.8911999999999995]","[{'offset': 2173, 'length': 29}]"
95,thority in terms of section 80(2),"[3.199, 5.8861, 4.8821, 5.8861, 4.8821, 6.023, 3.199, 6.0179]","[{'offset': 2203, 'length': 33}]"
96,"of the National Ports Act, No. 12","[3.199, 6.0078, 4.9075, 6.0078, 4.9075, 6.1345, 3.199, 6.1345]","[{'offset': 2237, 'length': 33}]"
97,of 2005,"[3.199, 6.1244, 3.6147, 6.1244, 3.6147, 6.2461, 3.199, 6.2461]","[{'offset': 2271, 'length': 7}]"
98,32,"[4.9886, 5.4704, 5.1356, 5.4755, 5.1356, 5.5921, 4.9886, 5.587]","[{'offset': 2279, 'length': 2}]"
99,5.3,"[2.8897, 6.241, 3.0672, 6.241, 3.0672, 6.3678, 2.8948, 6.3678]","[{'offset': 2282, 'length': 3}]"
100,Fees payable for licences for,"[3.1888, 6.2359, 4.7047, 6.2359, 4.7097, 6.3678, 3.1939, 6.3728]","[{'offset': 2286, 'length': 29}]"
101,environmental compliance : Hull,"[3.199, 6.3525, 4.8922, 6.3525, 4.8922, 6.4945, 3.199, 6.4996]","[{'offset': 2316, 'length': 31}]"
102,Cleaning,"[3.204, 6.4793, 3.6552, 6.4844, 3.6552, 6.6162, 3.204, 6.606]","[{'offset': 2348, 'length': 8}]"
103,33,"[4.9328, 6.3323, 5.1407, 6.3323, 5.1457, 6.4945, 4.9328, 6.4945]","[{'offset': 2357, 'length': 2}]"
104,SECTION 6,"[6.4334, 0.9785, 7.1077, 0.9785, 7.1077, 1.1154, 6.4334, 1.1154]","[{'offset': 2360, 'length': 9}]"
105,"DRYDOCKS, FLOATING DOCKS,","[6.4385, 1.2117, 8.1064, 1.2117, 8.1064, 1.3486, 6.4385, 1.3486]","[{'offset': 2370, 'length': 25}]"
106,SYNCROLIFTS AND SLIPWAYS,"[6.4284, 1.3334000000000001, 8.0557, 1.3334000000000001, 8.0557, 1.4601, 6.4284, 1.4601]","[{'offset': 2396, 'length': 24}]"
107,6.1 General terms and conditions,"[6.4385, 1.5716999999999999, 8.2585, 1.5716999999999999, 8.2585, 1.7035, 6.4385, 1.6984]","[{'offset': 2421, 'length': 32}]"
108,34,"[8.4005, 1.5716999999999999, 8.5678, 1.5767, 8.5678, 1.6984, 8.4005, 1.6933]","[{'offset': 2454, 'length': 2}]"
109,6.2 Booking fees,"[6.4436, 1.6933, 7.3916, 1.6984, 7.3916, 1.815, 6.4436, 1.8099]","[{'offset': 2457, 'length': 16}]"
110,34,"[8.4157, 1.6984, 8.5678, 1.6984, 8.5678, 1.8049, 8.4157, 1.7998]","[{'offset': 2474, 'length': 2}]"
111,6.3,"[6.4436, 1.815, 6.6413, 1.815, 6.6413, 1.9316, 6.4436, 1.9316]","[{'offset': 2477, 'length': 3}]"
112,Penalties,"[6.7123, 1.815, 7.1888, 1.8201, 7.1888, 1.9367, 6.7123, 1.9266]","[{'offset': 2481, 'length': 9}]"
113,6.4,"[6.4385, 1.9316, 6.6261, 1.9316, 6.6261, 2.0482, 6.4436, 2.0432]","[{'offset': 2491, 'length': 3}]"
114,Preparation,"[6.7072, 1.9367, 7.3409, 1.9367, 7.3409, 2.0584, 6.7072, 2.0533]","[{'offset': 2495, 'length': 11}]"
115,6.5,"[6.4436, 2.0482, 6.6261, 2.0482, 6.6261, 2.1598, 6.4436, 2.1598]","[{'offset': 2507, 'length': 3}]"
116,Docking and undocking of,"[6.7123, 2.0432, 8.0861, 2.0432, 8.0861, 2.18, 6.7123, 2.18]","[{'offset': 2511, 'length': 24}]"
117,vessels,"[6.7478, 2.1699, 7.1533, 2.175, 7.1533, 2.2865, 6.7478, 2.2814]","[{'offset': 2536, 'length': 7}]"
118,6.6,"[6.4436, 2.2865, 6.6971, 2.2814, 6.6971, 2.4082, 6.4486, 2.4031000000000002]","[{'offset': 2544, 'length': 3}]"
119,"Drydock, floating dock and","[6.7021, 2.2814, 8.1318, 2.2814, 8.1318, 2.4183, 6.7072, 2.4183]","[{'offset': 2548, 'length': 26}]"
120,syncrolift dues,"[6.7478, 2.4082, 7.5183, 2.4082, 7.5183, 2.5248, 6.7478, 2.5299]","[{'offset': 2575, 'length': 15}]"
121,6.7 Slipway,"[6.4436, 2.5197000000000003, 7.128, 2.5299, 7.1229, 2.6515, 6.4436, 2.6363]","[{'offset': 2591, 'length': 11}]"
122,6.8,"[6.4486, 2.6363, 6.6311, 2.6414, 6.6311, 2.7529, 6.4486, 2.7529]","[{'offset': 2603, 'length': 3}]"
123,Wharf cranes,"[6.6311, 2.6313, 7.422, 2.6363, 7.422, 2.758, 6.6311, 2.758]","[{'offset': 2607, 'length': 12}]"
124,6.9 Miscellaneous,"[6.4385, 2.758, 7.4524, 2.758, 7.4524, 2.8797, 6.4385, 2.8746]","[{'offset': 2620, 'length': 17}]"
125,40,"[8.4258, 2.7529, 8.5475, 2.7529, 8.5475, 2.8746, 8.4258, 2.8695]","[{'offset': 2638, 'length': 2}]"
126,SECTION 8,"[8.6742, 0.9785, 9.3384, 0.9785, 9.3384, 1.1103, 8.6742, 1.1103]","[{'offset': 2641, 'length': 9}]"
127,BUSINESS PROCESSES AND,"[8.6793, 1.2117, 10.1495, 1.2117, 10.1495, 1.3435000000000001, 8.6793, 1.3435000000000001]","[{'offset': 2651, 'length': 22}]"
128,DOCUMENTATION,"[8.6742, 1.3384, 9.6628, 1.3384, 9.6628, 1.4601, 8.6742, 1.4601]","[{'offset': 2674, 'length': 13}]"
129,8.1 Cargo Dues Order,"[8.6793, 1.5716999999999999, 9.8605, 1.5716999999999999, 9.8605, 1.6984, 8.6793, 1.6984]","[{'offset': 2688, 'length': 20}]"
130,48,"[10.8339, 1.5615, 10.9607, 1.5615, 10.9607, 1.6781000000000001, 10.8339, 1.6731]","[{'offset': 2709, 'length': 2}]"
131,8.1.1 Types of documentation,"[8.8973, 1.6933, 10.4841, 1.6883, 10.4841, 1.8201, 8.8973, 1.8252000000000002]","[{'offset': 2712, 'length': 28}]"
132,49,"[10.8339, 1.6883, 10.9556, 1.6883, 10.9556, 1.7947000000000002, 10.8339, 1.7897]","[{'offset': 2741, 'length': 2}]"
133,35,"[8.4207, 1.815, 8.5374, 1.815, 8.5374, 1.9266, 8.4157, 1.9215]","[{'offset': 2744, 'length': 2}]"
134,8.1.2 Timing of documentation,"[8.9074, 1.815, 10.5297, 1.815, 10.5297, 1.9418000000000002, 8.9074, 1.9418000000000002]","[{'offset': 2747, 'length': 29}]"
135,50,"[10.8339, 1.8049, 10.9607, 1.8049, 10.9607, 1.9113, 10.8339, 1.9062999999999999]","[{'offset': 2777, 'length': 2}]"
136,35,"[8.4207, 1.9266, 8.583, 1.9316, 8.583, 2.0533, 8.4207, 2.0482]","[{'offset': 2780, 'length': 2}]"
137,8.2 Responsible party,"[8.6844, 1.9316, 9.8504, 1.9367, 9.8453, 2.0685000000000002, 8.6844, 2.0533]","[{'offset': 2783, 'length': 21}]"
138,52,"[10.8238, 1.9215, 10.9607, 1.9163999999999999, 10.9657, 2.0279, 10.8238, 2.0229]","[{'offset': 2805, 'length': 2}]"
139,36,"[8.4207, 2.0482, 8.5728, 2.0482, 8.5779, 2.1598, 8.4258, 2.1598]","[{'offset': 2808, 'length': 2}]"
140,8.3 Late order fees,"[8.6742, 2.0482, 9.7287, 2.0432, 9.7287, 2.1699, 8.6742, 2.1699]","[{'offset': 2811, 'length': 19}]"
141,52,"[10.8238, 2.0381, 10.9607, 2.0381, 10.9607, 2.1446, 10.8238, 2.1395]","[{'offset': 2831, 'length': 2}]"
142,8.4 Amending orders,"[8.6793, 2.1598, 9.8251, 2.1598, 9.8251, 2.2916, 8.6793, 2.2916]","[{'offset': 2834, 'length': 19}]"
143,53,"[10.8238, 2.1598, 10.9607, 2.1547, 10.9657, 2.2662, 10.8238, 2.2612]","[{'offset': 2854, 'length': 2}]"
